Acc No,ISBN,Title,Author,System Status
,9789382993940,A Textbook on Automata Theory,P K Srimani And,Available
,9789384323097,Computer Science Illuminated,Nell Dale And John Lewis,Available
,9788131525296,Introduction to the Theory of Computation,Michael Sipres,Available
,9789332549890,Elements of the Theory of Computation,Harry R Lewis Christos H,Available
,9788131533611,Principles of Communication System,Dr K N Bhat,Available
,9789332539181,Connecting Networks Companion Guide,Cisco Networking Academy,Available
,9788131532690,Computer Science A Structured Programming,Behrouz A Frouzan,Available
,9789673498284,Java how to Program Early Objects,Paul Deitel And Harvey Deitel,Available
,9789673498413,Fundamentals of Database System,Ramez Elmasri and Shamkant,Available
,9789353161248,Corel Draw X8 the Officail Guide,Gary David Bouton,Available
,9780071077705,Data Communications and Networks,Achyut S Godbole,Available
,9789332585935,Java an Introduction to Problem Solving and ….,Walter Savitch,Available
,9788131532508,"An Introduction to Java Programming And 
Object-Oriented Application Development",Richard A johnson,Available
,9789673498178,Artificial Intelligence Structures And Strategies For ..,George F Luger,Available
,9788181289162,Fundamentals of computer security,Josef Pieprzy K,Available
,9788126577651,Information Security Princples and Practice,Mark Stamp,Available
,9780198070887,System Programming,Srimanta Pal,Available
,9788126549153,Computer Programming,P Kumar,Available
,9788126515240,Sampling Techniques,William G Cochran,Available
,9788121900447,Practical Statistics,R S N Pillai Bagavathi,Available
,9788131775141,An Introduction to Biostatistics,P Mariappan,Available
,9780071333740,Research Designs And Statistics A Bio Behavioural,Thomas Edwards,Available
,9788131761366,Probability and Statistics,Rukmangadachari E,Available
,9780070083271,Statistical Methods Combined Edition VolI and II,N G Das,Available
,9780070151536,Statistics Schaum outlines,Murray R Spiegel,Available
,9780070605015,Introduction to Probabilty and Statistics Schuams Out lines,Seymour Lipschutz and J …,Available
,9780840058782,Elementray Statistics,Robert Johnson Patricia…..,Available
,9781292165417,A first Course in Statistics,James Moclave and terr,Available
,9781133112143,Probability and Statistics  for Engineers and scientists,Anthony Hayter,Available
,9788123919805,Statistics for Senior Secondary Students,B L Agarwal,Available
,9780070445208,Introduction to the theory of statistics,Alexander M Mood,Available
,9788126519262,An introduction to Probability and Statistics,Vijay K Rohatgi,Available
,9780367203528,"Statistical Methods An Introduction To Basic Statistics 
Concepts and Analysis",Cheryl Ann Willard,Available
,9788126551811,Introduction to Real Analysis,Robert G Bartle and Doni…,Available
,9788131717400,Applied Numerical Analysis,Cutis f Gerald and Pat…,Available
,9788121923212,Culculus of finite Differences and Numerical Analysis Allied Mathemathics,P Kandasamy,Available
,9780821887103,Analytic Number Theory Colloquium Publications,Henrky Lwaniec Emmanui,Available
,9780070085381,Complex Variables Schaums Outlines,Murray R Spiegel,Available
,9788131733103,Discrete Mathematics,Babu Ram,Available
,9783110378153,Introduction to Topology,Min Yan,Available
,9788131712870,Discrete Mathematics,Richard Johnsonbaugh,Available
,9788130915746,Pashtun Tales from the Pakistan Afghanistan Frontier,Aisha Ahmad,Available
,9788121904025,Indian Administration,Dr Vishnoo Baghwan,Available
,9788120417069,A History of Political Theory,George H Sabine and …,Available
,9780815705574,Deadly embrace Pakistan America and the Future of the Global Jihad Embrace,Bruce Riedel,Available
,9780300178845,The Taliban Revival Violence and Extremism on the Pakistan Afghanistan Frontier,Hassan Abbas,Available
,9781138576346,Modern Diplomacy,R P Barston,Available
,0465044352,The Malady of Islam Translated from the French,Abdelwahab Mddeb,Available
,9788174364258,Cross Border Talks Meghnad Desai Divided by Democracy Cross Border Talks,Aitzaz Ahsan,Available
,9789386858894,Research Methods in Political Science An Introduction,Michael K Le Roy,Available
,9780670086436,Mr and Mrs Jinnah the Marriage that Shook India,Sheela Reddy,Available
,9780143030874,Kashmir The Untold Story,Humra Quraish,Available
,9789352777693,Reimagining Pakistan Transforming A Dysfunctional Nuclear State,Husain Haqqani,Available
,9780141038247,Pakistan A Hard Country,Anatol Lieven,Available
,9780143064794,Frontline Pakistan The Path To Catastrophe and the Killing of Benazir Bhutto,Zahida Hussain,Available
,9781787380325,Making Sense of Pakistan,Farzana Shaikh,Available
,9789387578494,Pakistan A Drift Navigating Troubled Waters,Asad Durrani,Available
,9788125005148,India Wins Freedom The Complete Version,Maulana Abul Kalam Azad,Available
,9788126574810,A Guid to Econometrics,Peter Kennedy,Available
,9781133607526,Economics and Contemporary Issues,William J McLean Michael,Available
,9781292217888,Foundation of Economics,Robin Bade and Michael,Available
,9781292165592,Economics Principles Applications and Tools,Arthur O Sullivan Stepher,Available
,9781429240024,Macroeconomics,N Grebory Mankiw,Available
,9789386668424,Macroeconomics,N Grebory Mankiw,Available
,9781285738307,Microeconomics,Roger A Arnold,Available
,9781259029127,The Art of Public Speaking,Stephen E Lucas,Available
,9780070618312,Fundations of Business Communication an Integrated Approach,Dona J Young,Available
,9781259025716,Communication Skills,Tracey Bretag,Available
,9789353500252,English Communication Theory and Practice,Manoj Kumar Garg,Available
,9788131516041,Business Communication,Mallika Nawal,Available
,9788126530755,Assignment And Thesis Writing,Jonathan Anderson,Available
,9788121931694,Contemporary Communicative English,Dr Shruti Das,Available
,9788130926926,Orientalism in English Literature Perception of Islam and Muslims,Abdur Raheem,Available
,9788121900294,Write Well Book of Essays Letters and Stories,Dev Raj Aggarwal,Available
,9781259026089,English for Academic and Professional Skills,Anand Mahanand,Available
,9780804125789,The Princetion Review College Essays That Made A Difference the Princeton,Robbert Frank,Available
,9780141982809,A Short History Of English Literature,Ifor Evans,Available
,9780199543786,Oxford Dictionary of English Idioms,John Ayto,Available
,9781138039674,Doing English A Guide For Literature Students,Robert Eaglestone,Available
,9788174731197,An Introduction to the Study of English Liiterature,W H Hudson,Available
,9789388038287,English in Practice in Pursuyit of English Studies,Peter Barry,Available
,9780857834034,Dictionary of Prowerbs and Their Origins,Linda And Roger Flavell,Available
,9781305394223,Steps to Writing Well,Jean Wyrick,Available
,9788131514672,Soft Skills for Everyone,Jeff Butterfield,Available
,9780194312509,Oxford English Grammar Course Advanced,Michael Swan And Cather,Available
,9780194420839,Oxford Grammar Course Intermediate,Michael Swan And Cather,Available
,9781119055266,The Handbook of English Pronunciation,Marnie Reed and John M,Available
,9789386250667,Good Word Guide the Fast Way to Correct english Spelling…,Martin H Manser,Available
,9780195658095,Current English Grammar and usage with Composition,R.P Sinha,Available
,9781259002519,English Made Easy,Mary Margaret Hosler,Available
,9781101873854,Word Power Made Easy the Complete Handbook for Building a Superior Vocabulary,Norman Lewis,Available
,9780194374446,Controversies in Aplied Linguistics,Barbara Seidhofer,Available
,9780521152440,Linguistics an Introduction,Andrew Radford and Martin Atkinson,Available
,9780300205312,A Little History of Literature,John Sutherland,Available
,9788131526354,A Glossary of Literary Terms,M H Abrams,Available
,9788174733054,A Short History Of English Literature,George Saintsbury,Available
,9788126556595,Spectrometric Indentification of Organic Compounds,Robert M Silverstein,Available
,9780486691862,Modern Quantum Chemistry Introduction to Advanced…,Attila Szabo and Neil S O,Available
,9788121900294,Write Well Book of Essays Letters and Stories,Dev Raj Aggarwal,Available
,9788121900294,Write Well Book of Essays Letters and Stories,Dev Raj Aggarwal,Available
,9788126515707,Stereochemistry of Organic Compounds,Ernest L Eliel Samu,Available
,9783110441147,Organic Trace Analysis,Reihard Niessner and A,Available
,9788126540495,Organic Synthesis Strategy and Control,Paul Wyatt and Stuart,Available
,9780074620540,Introductory Quantum Chemistry,A K Chandra,Available
,9780070681149,Stoichimetry,B I Bhatt and S /b thankon,Available
,9788131774854,Introduction to Biochemistry and Metabolism,D Anandhi,Available
,9788126574841,Principles of Analytical Chemistry,F W Fiflied and D Keeley,Available
,9789332545076,Essentials of Analytical Chemistry,Ramakrishnan and Mukh,Available
,9788126511136,Analytical Chemistry,Gary D Christian,Available
,9788126539512,Chemistry for Engineers,Dr Amarika Singh Dr S.Vt,Available
,9789332585454,Biochemistry Concepts and Connections,Deen R Appling,Available
,9789387153523,Biochemistry Preamble and Practice Tutiorial,T A Brown,Available
,9788131533451,Enviornmental Chemistry,Subhendu Chakroborty,Available
,9789386105257,Chemistry of the Environment,Thomas G Spiro and Katl,Available
,9788130920580,Chemistry for Engineers,Abhijit Mallick,Available
,9780071313667,University Physics with Modern Physics,Bauer Westfall,Available
,9781292163444,Thomas Calculus Early Transcendentals,Weir Hass,Available
,9780007210121,Advanced Learners English Dictionary,Harper Collins Cobuild Publisher,Available
,9780821887110,A Cours in Approximation Theory,Ward Cheney and Will Ligh,Available
,9789332521391,Discrete Mathematical Structures,U S Gupta,Available
,9780199452798,Discrete Mathematics,R K Bisht H S Dhami,Available
,9789384323264,Discrete Structures Logic and Computability,James L Hein,Available
,9780877796336,Merriam Websters Concise Dictionary of English Usage the Essentials of Clear Expression,James J Kilptrick,Available
,9789673498383,Topology,James R Munkres,Available
,9789332535237,A Friendly Introduction to Number Theory,Joseph H Silverman,Available
,9780070601727,Finite Element Analysis Schaums Outlines,George R Buchanan,Available
,9781111833145,International Relations Perspectives Controversies and Readings,Keith L Shimko,Available
,9780521125178,Genocide and International Relations Changing Patterns in the Transitions of the Medern World,Martin Shaw,Available
,9788174730695,International Relations,Palrner and Perkins,Available
,81239134610,International Relations,Palrner and Perkins,Available
,9788130930312,Governance and Citizenship,Tapan Biswal,Available
,9789673498277,International Relations,Jon C W Pevehouse,Available
,9781107653566,Dialogue Politics and Gender,Jude Browne,Available
,9789386385260,Studies in Comparative Politics an Introduction to approaches,Timothy C Lim,Available
,9789386858924,Comparative Politics Domestic Responses to Global Challenges,Charles Hauss,Available
,9788131733431,A Comprehensive Grammar of the English Language,Randolph Quirk Sidney Greebaum,Available
,9780071280846,Socialogy A Brief Introduction,Richard T Schaefer,Available
,9781259026669,Social Research Methods,Avdhesh S Jha,Available
,9780074622506,Introduction to Psychology,Clifford T Morgan Richard,Available
,9780071077996,General Psychology,Amit Abraham,Available
,9788130918945,Quantum Chemistry,Donaid A Mcquarrie,Available
,9789332518728,Logic and Computer Design Fundamentals,M Morris Mano,Available
,9789673498208,Cryptography and Network Security Principles and Practice,William Stalling,Available
,9788126508358,Software Engineering Project Management,Richard H Thayer,Available
,9789332901513,An Introduction to Programming Through C ++,Abhiram G Ranade,Available
,9788131702291,Data Structutres using C,Aaron M Tenenbaum,Available
,9788121908290,A Manual of Practical Zoology Invertebrates,Dr P S Verma,Available
,9788121916394,Chordate Zoology,E L Jordan,Available
,9789374735534,Industrial Biotechnology,Dr Kavita,Available
,9788174732969,Essentials of Biotechnology,Chandrani Sanayal Datta,Available
,9780071070577,Introduction to Molecular Biology,Peter Paolella,Available
,9788121902618,Chordate Embryology Developmental Biology,P S Verma and V K Agan,Available
,9788131520772,Theories of Personality,"Duane P Schultz and ,,",Available
,582735,Pakistan Affairst for CSS PMS and Other Competitive Examination,M Ikram Rabbani,Available
,367653,The Impact of Afghan Transit Trade on NWFP Economy 1990-2000,Dr Sayed Waqar Hussain,Available
,259651,Muslim Rule in India AND Pakistan 711- 1707 AD,Mohammad Sohail Bhatti,Available
,9693517032,Pakistan and Muslim India Nationalism in Conflict in India,M R T,Available
,9789693513363,Imperial Gazetteer Provincial Series North West Frontier Province,H A Rose,Available
,9789693530636,England and Russia in the East,Sir Henry Rawinson,Available
,9789693530632,"Pakistan Divided Study of the Factors and Forces, Leading to the Breakup of Pakistan in 1971",Dr safdar Mahmood,Available
,9789693530629,Pakistan Rule of Muslim League and Inception of Democracy 1947-54,Dr Safsar Mahmood,Available
,9789693523553,The Muder of History A Critique of History Textbook used in Pakistan,K K Aziz,Available
,9789693529050,Narrative of Pakistan,Muhammad siddique Sheikh,Available
,9789699988370,Pukhtun Economy and Society Traditional Structure And Economic Development in a Tribal Society,Akbar S Ahmed,Available
,9789699988325,The People of Pakistan an Ethnic History,Yu V Gankovsky,Available
,9780195771145,Pakistan the Formative Phase 1857 1948,Khalid Bin Sayeed,Available
,9789693507577,Muslim Struggle for Independence from Sir Syed Ahmad Khan1857-1947,Dr S Qalib I Abid,Available
,9789695626580,Facts are Facts the Untold Story of India's Partilion,Wali Khan,Available
,9789693510027,The Indian Musalmans,W W Hunter,Available
,205115,Pakistan and South Asian Environment,Ejaz Aslam Qureshi,Available
,9789699988400,Pakistan Society Islam Ethnicity and Leadership in south Asia,Akbar S Ahmed,Available
,9780195792768,Pakistan in the Twentieth Century A Political History,Lawrence Ziring,Available
,534871,Kashmir An issue of A Nation Not Disputte of A Land,Dr Shabir Choudry,Available
,529945,Kashmir Fight for Freedom 2Vol set 1947-1978,Muhammad Yusuf Saraf,Available
,529945,Kashmir Fight for Freedom 2Vol set 1947-1978,Muhammad Yusuf Saraf,Available
,9693515846,Modern Afghanistan,Sirda Ikbal Ali shah,Available
,9780199064380,Pakistan Beyond the Crisis State,Maleeha Lodhi,Available
,97896950310919,Jammu and Kashmir Issue and the Parliament of Pakistan 1948-77,Dr Nadeem Shafiq Malik,Available
,9780195797701,Incomplete Partition the Genesis of the Kashmir Dispute 1947-1948,Alastair Lamb,Available
,539708,Role of City Kasur in Pakistan Movement,Subhendu Chakroborty,Available
,550307,Muslim World History of Creation of Pakistan and Important Events from 1947 to date,Ainuddin Siddiqi,Available
,978963507874,Culture of Pakistan,Dr Laeeqe Babree,Available
,9789693508703,The Making Pakistan A Study in Nationalism,K K Aziz,Available
,9789693519464,The British in India A Study in Imperialism,K K Aziz,Available
,9780957033344,Kashmir Emerging Concept of Sovereign State,Prof. Dr M A Khan,Available
,404044,A Short History of Pakistan 1857 AD to Date,Muhammad Sohail Bhatti,Available
,9780199400416,Pakistan A New History,Lan Talbot,Available
,9780199065127,A Cocise History of Pakistan,M R Kazimi,Available
,978969988059,The Political System of Pakistan,K B Sayeed,Available
,9789693510805,Ayub Bhutto and Zia How They Fell Victim To Their Own Plans,Syed Shabbir Hussain,Available
,9789699988608,Greek Political Thoughts of Plato  and Aristotle,Emest Barker,Available
,575225,"A Complete Resouce Manual Political Science Paper I , II",Aamer Shahzad,Available
,479967,Government and Politics in Pakistan Questions and,M Asif Malik,Available
