Acc No,ISBN,Title,Author,System Status
,575720,Patras Kay Mazameen,Ahmad Shah Bukhari,Available
,9789693521085,Manto Kay Afsaanay,Sadat Hassan Manto,Available
,594899,Naqabil E Faramosh Izafa Shuda Edition,Dewan Singh Mafton,Available
,9789697089291,Akhree Chataan,Naseem Hijazi,Available
,9789695814352,Ghair Afsanvi Nasr Par Tahqeeq Azadai Kay Bad,Dr Sikandar Hayyat,Available
,588447,Aap Beeti Mirza Ghalib,Khalid Nadeem,Available
,572934,Rudad E Dastanbo Bazban E Gaib,Mirza Asad Ullah Khan,Available
,9789697280018,Jadeed Urdu Tandeed Asool O Nazriyat,Dr Sharib Radolvi,Available
,9789698422424,Drama Anrkali Tahqiq Kay Ainay Mein,Dr Shazia Razaq,Available
,9789695626955,Asnaf E adab Urdu,Dr Qamar Raees,Available
,9789693515534,Sharah Israr O Ramooz,Dr Khawaja Hameed,Available
,9694960460,Bazam Aaraiyan,Muhammad Khan,Available
,544889,Fazli E Ali,Hazrat Allama Muhammmad,Available
,9789695815922,Prem Chand Or Ahmad Nadeem Qasmi Ke Afsanay,Aamir Shahzad,Available
,548250,Gussa Mat Karein,Abu Ubaid Abd Ur Rahman,Available
,9789699037047,Naqsh E Dawan,Altaf Hussain Awan,Available
,587143,Kamal O Zawal Fatah Sindh sy Saqot Dhaka Tak,Sohail Shirjeel Anwar,Available
,198240,Baharat Israil Guth Joor,Dr Akhtar Nawaz khan,Available
,254366,Baloch Tareekh Kay Aainay Mein,Mazhar Ali Khan,Available
,9789694190037,Pakistan Kay Tehzibi O Siyasi Masail,Sibte hasan,Available
,9789694190134,Pakistan Main Tahzeeb ka Irtiqa,Sibte hasan,Available
,581509,Delhi Ki Bipta,Shahid Ahmad Dehlvi,Available
,582919,Adbi Asnat,Prof. Gyan Chand Jain,Available
,9789694190884,Aapbeeti Jagbeeti Purani Dilli sy Nayi Duniya ka,Saad Rashid Ul Khairi,Available
,286305,Dewan E ghalib,Mirza Asad Ullah Khan,Available
,573832,Muqadama E Sher O Shairi Urdu Classical Adab,Khawaja Altaf Hussain,Available
,580625,Bagh O Bahar,Meer Aman Dehlvi,Available
,586924,Maha Bharat,Kamran Nadeem,Available
,9789695628577,Sufi Kon,Ghafir Shahzad,Available
,452779,Masadas Hali,Altaf Hussain Hali,Available
,290784,Nehjul Fasahat,Allama Syed Nasir,Available
,433648,Khutbat E Seerat,Allama Zia Ul Rehman,Available
,465427,Sahih Muntakhib Waqiyat 2 Vol Set,AI Sheikh Muhammad,Available
,465427,Sahih Muntakhib Waqiyat 2 Vol Set,AI Sheikh Muhammad,Available
,563437,Rehmat Kay Farishton Say Mehroom Ghar,Akasha Abdul Manan,Available
,9789695031988,Tabeer Ur Roya Khawab Aur Us Ki Tabeer Kay,Allama Ibn E Sareen,Available
,578837,Tabeer Ur Roya Yani Khawab Nama Kabeer Urdu,Allama Ibn E Sareen,Available
,9693519558,Kashf Ul Mahjoob Farsi,Abdul Hasan Syed Ali Bin,Available
,996098224,Insan Apny Sefat K Ayny Mai,Abdul Bin Muhammad,Available
,544320,Islam Hi Deen E Barhaq Hai,Abdul Al Raheem Green..,Available
,9789960970653,Sunehray Haroof,Abdul Malik Mujahid,Available
,210157,Shahnama E Islam Mukamal,Hafeez Jalandri,Available
,547239,Al salah,Hafiz Muhammad Muhad,Available
,562467,Sadat Hassan Manto Shkhsiyat Nama,Dr Amjad Tufail,Available
,9695033997,Muhazraat E Fiqah,Dr Muhammad Ahmad Gha,Available
,9695035142,Muhazrat Seerat,Dr Mehmood Ahmad,Available
,9695033458,Mahazrat E Hadees,Dr Mehmood Ahmad,Available
,97896950310209,Jama O Tadveen E Quran,Dr Hafiz Muhammad Abd,Available
,9780195793406,Oxford English Urdu Dictionary,Shanul Haq Haqee,Available
,9780195479256,Linguistics for Beginners Basic Concepts,Tariq Rahman,Available
,9780919068357,A history of Pakistani Literature in English 1947- 1988,Tariq Rahman,Available
,9789699988509,Democracy and Governance in Pakistan,Tahir Kamran,Available
,9780199408979,Governing the Ungovernable Institutional Refoms,Ishrat Husain,Available
,8130706113,The Government of United States National State National State and Local,William Bennett Munro,Available
,9789696640813,Essentials of International Relations Paper I and II,Kanwal Batool and Zahid,Available
,9789699988998,Trek to Pakistan,Ahmad Saeed and Kh,Available
,9789697088546,Qafila Hijaz,Naseem Hijazi,Available
,9789693526745,Qindeel E Cheen Afsanay,Qudrat Ul Ain Haider,Available
,9693517237,Nai Pood,Ivan Turgenev,Available
,96935165540,Boond Boond,Intizar Hussain,Available
,9789693522990,Aag Ka Daryan,Qudrat Ul Ain Haider,Available
,9789697280155,Quiad E Azam Shanasi Mozoati Muzamin Ki Roshni Main,Khuwaja Razi Haider,Available
,352595,Mohsin E Pakistan Doctor Abdul Qadeer Khan,Imran Hussain Chaudary,Available
,9690021265,Sub Se Pehley Pakistan,Pervaiz Musharraf,Available
,9789693505283,Ayub Khan Fauji Raj Kay Pehlay Das Saal,Altaf Gauhar,Available
,229890,Aina E Maloomat E Pakistan,Nusrat Ali,Available
,326629,Hassas Idaray,Brigadier syed Ahmad,Available
,432139,Kargill Marka Ya Phanda White Paper,Muhammad Saddique,Available
,9789693517552,Shahaab Nama,Qudrat Ullah Shahab,Available
,9789693507041,Akaabbreen E Tehreek E Pakistan,Muhammad Ali Chiragh,Available
,9789696621607,Guru Qasim Ali Shah Kay Sath Ilmi O Rohani Safar,Abu Bakar Zahoor,Available
,486989,Khush Rehnay Kay 10 Asool,Mirdula Agarwal,Available
,550383,Shandaar Kamiyabi,Aourj San Sweet Modern,Available
,9789697879182,Oonchi Uraan,Qasim Ali Shah,Available
,574747,Soch Ka Hamaliya,Qasim Ali Shah,Available
,9789697879175,Barhi Manzal Ka musafir,Qasim Ali Shah,Available
,9693520750,Majmuah Dr Muhammad Yunus Butt Butt Paaray Butt,Dr Muhammad Yunus,Available
,377058,Apna Mustaqbil Khud Banaeya,Brian Tracy,Available
,562867,Hasool E Maqasid Kay Raaz,Brian Tracy,Available
,415965,The Power of Intention Quwat E Iradi,Dr Wayne W Dyer,Available
,9789698464394,Badlay Gay Zindagi K Haqaiq Aur Un Ki Asal Rooh Ko,Faiez Hassan Seyal,Available
,9789698464424,Badlo Soch Badlo Zindagi Zindagi Kay Muttaliq Apnai,Faiez Hassan Seyal,Available
,341462,39 Baray Adami,Deel Karmegi,Available
,590990,Time Management Kamyab Logo Ki Aik Eham Khobi,Zulfiqar Ali,Available
,551199,Meethay Bol Mein Jadu Hai,Deel Karmegi,Available
,562850,Kamyab Zindagi Guzarye,Dr Wayne Dyer,Available
,323992,Soch Ki Quwat,Jack Canfield,Available
,9789693524192,Istalahat E Sufia,Hazrat Khawaja Shah,Available
,9789693530049,Shah Waliullah Sawaneh Tasneefat Waghera,M Ikram Chaghatai,Available
,9789693516029,Ilm Ul Iqtisaad,Shaikh Muhammad Iqbal,Available
,9789693514315,Iqbal Nai Tafheem,Dr Saddiq Javaid,Available
,9695030874,Hikayat Ka Encyclopeadia Dunia Bhar Se Qadeem ….,Shahid Latif,Available
,9695032834,Iqbal E Kamil,Moulana Abdul Salam,Available
,587266,Iqbal Ki fikr O Nazar Main Coloniism Mahkoomiat,Khalid Sardar,Available
,9789693522600,Fikriyaat I Iqbal,Dr Waheed Ishrat,Available
,9789693509649,Iqbal Kay Aakhari Do sall,Ashiq Hussain Balalvi,Available
,554107,Iqbal ek Kamyab Seyasatdan,Muhammad Rizwan Gohar,Available
,9789693515404,Sharah Armaghan I Hijaz Persian Urdu,Dr Khawaja Hameed,Available
,9789693516784,Sharh Zabur I Ajam Matan Farhang Tarjuma Aur,Dr Khawaja Hameed,Available
,9789693515978,Sharah Piyam I Mashriq,Dr Khawaja Hameed,Available
,9789693506624,Kulliat E Iqbal Urdu,Allama Muhammad Iqbal,Available
,564595,Allama Muhammad Iqbal Ki Zinda Yaadein,Dr Nadeem Shafiq Malik,Available
,407540,Kuliyat E Iqbal Urdu,Allama Muhammad Iqbal,Available
,9789693517323,Sharah Baal I Jibriel Lughat O Tashreeh,Dr Khawaja Hameed,Available
,9789695328381,Chand Muaasrim E Iqbal,Dr Nadeem Shafiq Malik,Available
,9789693528305,Allama Iqbal Kay Chand Ahbaab,Dr Nadeem Shafiq Malik,Available
,9789695540329,Hakayat E Romi O Saadi,Saima Kamran,Available
,9789693520910,Bostaan Saadi,Dr Khawaja Hameed,Available
,9693514181,Iqbal Ka Fikri Nizam Aur Pakistan Ka Tasavar,Prof Fateh Mohammad,Available
,9789693515602,Zinda Rood Allama Iqbal Ki Mukamal Sawaneh Hayat,Dr Javed Iqbal,Available
,9789693531687,Iqbal Islam Aur Rohani Jamhuriat,Fateh Muhammad Malik,Available
,5954407,Deda O Dil,Muhammmad Ilyas Khokha,Available
,503808,Baang E Dara,Allama Muhammad Iqbal,Available
,9789693517637,Afkar E Iqbal Tashrihaat E Javaid,Dr Javed Iqbal,Available
,9789693516845,Sharh Javid Nama Farhang Tarjuma Aur Tashreeh,Dr Khawaja Hameed,Available
,9789693521450,Allama Iqbal Ki Pasandidah Shakhsiyyat,Dr Khawaja Hameed,Available
,9789693528114,Iqbal Jinnah Aur Pakistan,Dr safdar Mahmood,Available
,9789693505733,Iqbal Fikr O Amal,Prof Fateh Mohammad,Available
,9789693516333,Iqbal Ki Taweel Nazmain Fikri Wa Fanni Mutalaa,Dr Rafi UD Din Hashmi,Available
,9789693522891,Iqbal Ka Fun,Gopi Chand Narang,Available
,566377,Israar E Khudi Wazahati Kitabiyaat,Samia Shahid,Available
,583022,Sharah Ramooz E Bay Khudi Lughat O Tashree Urdu,Zahid Malik,Available
,487405,Sir Syed Say Iqbal Tak,Qazi Javed,Available
,9789693513394,Iqbal Faramoshi,Prof Fateh Mohammad,Available
,9693515773,Ijaz E Iqbal,Dr Sayyed Abdullah,Available
,590754,Bhutto Trial and Execution Bhutto Muqaddima Aur Saza,Victoria Schfield,Available
,9789699007149,Gaandhi Kay Chelay,Zia Shahid,Available
,,Khan Abdul Wali Khan Zindagi Aur Jiddujahad,Zerik Utman Khail,Available
,9789697460069,Such Toh Ye Hai Quaid E Azam Aur  Tareekh E Pakistan,Dr safdar Mahmood,Available
,9789694026251,Pakistan Tareekh Ka Qatal,Khurshid Kamal Aziz,Available
,9789695626726,Haqaiq Haqaiq Hai,Khan Abdul Wali Khan,Available
,588232,"Quiad E Azam Ka Dour E Hakoomat 14August,1947 to 11September 1948",Prof Abdul Haq,Available
,9789696641094,Pakistan Ki Aaini O Siyasi Tareekh,Hamid Khan And Waqar,Available
,9781901458671,The History and Culture of Pakistan,Nigel Kelly,Available
,9789693530339,A Brief History Of Pakistan from the Earliest Times,Ihan H Nadiem,Available
,9693519515,If Truth be Told an Alternate History of Pakistan,Haq Nawaz Akhtar,Available
,9693520203,History of Pakistan Pakistan Through Ages,Ahmad Hasan Dani,Available
,9789698988258,Khalifa Haroon Ul Rasheed Tareekh Islam Ka Aik ….,Tahir Mansoor Farooqi,Available
,417037,Sher Shah Suri Tareekh E Alam Ka Ek Aham Kirdar,Kalkar Rinjan Qanoon Go,Available
,479691,Salah Ud Din Ayubi Novel,Qazi Abdul Sattar,Available
,566681,Binatul Nash,Deputy Naizr Ahmad,Available
,9693520432,Din Aur Dastaan Novel,Intizar Hussain,Available
,9693515943,Nazriyay Say Agay,Intizar Hussain,Available
,9789693524017,Hazaar Dastaan Alif Laila Ka Fasih O Baligh Urdu,Intizar Hussain,Available
,572071,Halaku Khan Mangol Dastan Ka Aik Safak Kirdar,Tahir Mansoor Farooqi,Available
,518192,Qasas Ul Ambya AS,Maulana Abdul Manan,Available
,562058,Bari Soch Bari Kamyabi,Dr Dvid Joseph,Available
,562881,Khalaat Ki Taqat,M R Copmeyer,Available
,489553,Ashra Mubashra Kay Dilchasp Waqiat,Ibne Sarwar Muhammad,Available
,591058,Ashra Mubashara,Hakeem Mahmood Ahmad,Available
,427227,Guftagun Aur Taqreer ka Saleeqa 7 Steps to Effective,Prem P Bhalla,Available
,552011,Doolat Omoviya Undalas Tareekh Islam,Hakeem Mehmood Ahmad,Available
,567510,Muhammad Bin Qasim Fateh sindh Azeem Musalman,Sadiq Hussain Saddique,Available
,483933,Musalman Fateheen,Dr Nazir Ahmad Paracha,Available
,383264,Sultan Mahmood Ghaznavi,Mubeen Rasheed,Available
,402446,Sikandar E Azam Tareekh E Alam Ka Aik Aham Kirdar,Heroldium,Available
,253420,Tazkira Bahaduran E Islam Tareekh E Islam,Faqeer Karam Elahi,Available
,9789698773564,Islami Tareekh Ki Qabil E Fakhar Shkhsiat,Naim Sohaib,Available
,564113,Dolat E Abbasiyah Tareekh E Islam,Hakeem Mehmood Ahmad,Available
,596299,ETEA Entry Test MCQS for Medical and Engineering,Ilmi Kitab,Available
,9789332576513,Complete Guide For the CAT,Nishit K Sinha,Available
,9789339221782,Microbiology  A Sysytems Approach,Marjone Kelly Cowan,Available
,9789332535190,Microbiology A Laboratory Manual,James Cappuccino,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,592024,Mariful Quran 8 Vol Set asan Tarjuma Quran,Hazrat Molana MuftiShafi Usmani,Available
,0,Tareekh Sara Khabaray,Amjad Ali,Available
